"venue","score_bucket","games","share_of_venue_games","win_rate","avg_runs_scored"
"home","0_2_runs",119,0.330555555555556,0.109243697478992,1.09243697478992
"home","3_5_runs",141,0.391666666666667,0.645390070921986,4.01418439716312
"home","6_8_runs",67,0.186111111111111,0.791044776119403,6.74626865671642
"home","9_plus_runs",33,0.0916666666666667,0.96969696969697,10.4242424242424
"away","0_2_runs",129,0.358333333333333,0.147286821705426,1.16279069767442
"away","3_5_runs",130,0.361111111111111,0.476923076923077,3.83076923076923
"away","6_8_runs",58,0.161111111111111,0.810344827586207,6.98275862068965
"away","9_plus_runs",43,0.119444444444444,1,10.9302325581395
