"season","date","stadium","away_team","home_team","away_total_score","home_total_score","winner_side","winning_margin","margin_bucket"
"中職2024年","2024-08-24 18:56:00","臺中市洲際棒球場","樂天桃猿","中信兄弟",3,4,"home",1,"1_run"
"中職2024年","2024-04-10 18:35:00","臺北市立天母棒球場","富邦悍將","味全龍",1,8,"home",7,"4_plus_runs"
"中職2024年","2024-06-09 17:00:00","臺南市立棒球場","味全龍","統一7-ELEVEn獅",3,2,"away",1,"1_run"
"中職2024年","2024-08-23 18:35:00","臺中市洲際棒球場","樂天桃猿","中信兄弟",6,1,"away",5,"4_plus_runs"
"中職2024年","2024-08-31 17:05:00","臺北市立天母棒球場","統一7-ELEVEn獅","味全龍",2,3,"home",1,"1_run"
"中職2024年","2024-05-04 17:05:00","臺北市立天母棒球場","台鋼雄鷹","味全龍",2,3,"home",1,"1_run"
"中職2024年","2024-05-19 17:00:00","澄清湖棒球場","統一7-ELEVEn獅","台鋼雄鷹",3,4,"home",1,"1_run"
"中職2024年","2024-08-14 18:35:00","臺東棒球村第一棒球場","富邦悍將","中信兄弟",3,5,"home",2,"2_3_runs"
"中職2024年","2024-06-20 18:35:00","臺南市立棒球場","富邦悍將","統一7-ELEVEn獅",12,0,"away",12,"4_plus_runs"
"中職2024年","2024-05-29 18:35:00","臺中市洲際棒球場","富邦悍將","中信兄弟",4,3,"away",1,"1_run"
"中職2024年","2024-06-26 18:35:00","臺中市洲際棒球場","樂天桃猿","中信兄弟",2,1,"away",1,"1_run"
"中職2024年","2024-07-26 18:35:00","臺北大巨蛋","台鋼雄鷹","富邦悍將",1,2,"home",1,"1_run"
"中職2024年","2024-05-31 18:35:00","新北市立新莊棒球場","統一7-ELEVEn獅","富邦悍將",3,0,"away",3,"2_3_runs"
"中職2024年","2024-04-20 17:05:00","臺北市立天母棒球場","樂天桃猿","味全龍",2,3,"home",1,"1_run"
"中職2024年","2024-06-18 18:35:00","臺北市立天母棒球場","台鋼雄鷹","味全龍",9,2,"away",7,"4_plus_runs"
"中職2024年","2024-04-05 16:42:00","澄清湖棒球場","富邦悍將","台鋼雄鷹",0,4,"home",4,"4_plus_runs"
"中職2024年","2024-07-07 17:05:00","臺北市立天母棒球場","台鋼雄鷹","味全龍",0,3,"home",3,"2_3_runs"
"中職2024年","2024-08-03 17:05:00","澄清湖棒球場","統一7-ELEVEn獅","台鋼雄鷹",3,11,"home",8,"4_plus_runs"
"中職2024年","2024-05-02 18:35:00","樂天桃園棒球場","富邦悍將","樂天桃猿",1,2,"home",1,"1_run"
"中職2024年","2024-05-10 18:36:00","樂天桃園棒球場","統一7-ELEVEn獅","樂天桃猿",3,5,"home",2,"2_3_runs"
"中職2024年","2024-08-16 18:35:00","臺中市洲際棒球場","台鋼雄鷹","中信兄弟",3,5,"home",2,"2_3_runs"
"中職2024年","2024-09-15 17:05:00","臺北大巨蛋","中信兄弟","味全龍",0,3,"home",3,"2_3_runs"
"中職2024年","2024-08-21 18:35:00","新北市立新莊棒球場","台鋼雄鷹","富邦悍將",3,4,"home",1,"1_run"
"中職2024年","2024-09-17 17:05:00","臺南市立棒球場","樂天桃猿","統一7-ELEVEn獅",2,9,"home",7,"4_plus_runs"
"中職2024年","2024-04-12 18:35:00","新北市立新莊棒球場","樂天桃猿","富邦悍將",4,5,"home",1,"1_run"
"中職2024年","2024-07-28 17:05:00","樂天桃園棒球場","中信兄弟","樂天桃猿",4,5,"home",1,"1_run"
"中職2024年","2024-05-12 14:00:00","澄清湖棒球場","味全龍","台鋼雄鷹",3,4,"home",1,"1_run"
"中職2024年","2024-05-12 14:05:00","新北市立新莊棒球場","中信兄弟","富邦悍將",2,3,"home",1,"1_run"
"中職2024年","2024-07-27 17:05:00","臺北大巨蛋","台鋼雄鷹","富邦悍將",3,4,"home",1,"1_run"
"中職2024年","2024-04-13 17:00:00","臺南市立棒球場","台鋼雄鷹","統一7-ELEVEn獅",2,10,"home",8,"4_plus_runs"
"中職2024年","2024-08-21 18:35:00","斗六棒球場","樂天桃猿","味全龍",6,0,"away",6,"4_plus_runs"
"中職2024年","2024-09-16 18:35:00","臺北大巨蛋","中信兄弟","味全龍",2,0,"away",2,"2_3_runs"
"中職2024年","2024-08-16 18:35:00","臺北市立天母棒球場","富邦悍將","味全龍",1,6,"home",5,"4_plus_runs"
"中職2024年","2024-09-14 17:05:00","臺南市立棒球場","台鋼雄鷹","統一7-ELEVEn獅",2,9,"home",7,"4_plus_runs"
"中職2024年","2024-06-27 18:35:00","樂天桃園棒球場","富邦悍將","樂天桃猿",4,10,"home",6,"4_plus_runs"
"中職2024年","2024-05-11 17:00:00","澄清湖棒球場","味全龍","台鋼雄鷹",1,5,"home",4,"4_plus_runs"
"中職2024年","2024-08-02 18:36:00","臺北大巨蛋","富邦悍將","中信兄弟",5,6,"home",1,"1_run"
"中職2024年","2024-06-16 17:05:00","新北市立新莊棒球場","台鋼雄鷹","富邦悍將",8,6,"away",2,"2_3_runs"
