"state_after_6","games","home_wins","away_wins","home_win_rate","avg_home_late_runs","avg_away_late_runs","avg_late_home_run_diff"
"home_leading",34,29,5,0.852941176470588,0.705882352941177,1.76470588235294,-1.05882352941176
"tied",28,18,10,0.642857142857143,0.964285714285714,0.928571428571429,0.0357142857142857
"home_trailing",41,14,27,0.341463414634146,1.60975609756098,0.317073170731707,1.29268292682927
