"venue","games","mean_runs","sd_runs","min_runs","q1_runs","median_runs","q3_runs","p90_runs","max_runs","high_score_6_plus_share","high_score_9_plus_share"
"home",360,4.14444444444444,2.96989954572006,0,2,4,6,8,16,0.277777777777778,0.0916666666666667
"away",360,4.23055555555556,3.31782721165159,0,2,3,6,9,17,0.280555555555556,0.119444444444444
