"venue","games","wins","losses","win_rate","avg_runs_scored","avg_runs_allowed","avg_run_diff","total_runs_scored","total_runs_allowed"
"away",360,171,189,0.475,4.23055555555556,4.14444444444444,0.0861111111111111,1523,1492
"home",360,189,171,0.525,4.14444444444444,4.23055555555556,-0.0861111111111111,1492,1523
