"winner_side","phase","games","avg_home_runs","avg_away_runs","avg_home_run_diff"
"home","1_3_innings",61,0.950819672131147,0.885245901639344,0.0655737704918033
"home","4_6_innings",61,1.29508196721311,1.09836065573771,0.19672131147541
"home","7_9_innings",61,1.55737704918033,1.11475409836066,0.442622950819672
"away","1_3_innings",42,0.904761904761905,0.976190476190476,-0.0714285714285714
"away","4_6_innings",42,1.04761904761905,1.69047619047619,-0.642857142857143
"away","7_9_innings",42,0.523809523809524,0.738095238095238,-0.214285714285714
